experiment_id,slice_type,slice_value,n,mae,rmse,r2,pearson_r,spearman_r,bias,smape
stage1_60s_mean_fms,fms_bin,5-10,57705,1.6864874163030064,1.9836213933061384,-1.5051715260837244,-0.0626643215847258,-0.06372645615321511,1.5060379489408895,0.2482472423010703
stage1_60s_mean_fms,fms_bin,10-15,29806,3.5079141141999304,3.7472662285196545,-7.366919271692666,-0.009892373119462112,-0.00357054180784012,-3.5079141141999304,0.3573346320506906
stage1_60s_mean_fms,fms_bin,15-20,24230,9.286602903279071,9.481133240712358,-24.739718091099313,-0.15097342505407071,-0.10155416052312324,-9.286602903279071,0.7389193056980408
stage1_60s_mean_fms,missing_slice,complete_dynamic,134866,4.295142106275458,5.22183725688169,-0.021017422748394132,-0.1936154505790061,-0.17815752271573626,0.1899453046063664,0.6174999495916575
stage1_60s_mean_fms,missing_slice,missing_dynamic,17459,5.172643664121556,6.206798836114091,-0.06845083885349568,-0.09602872785634144,-0.0866663255595152,-1.4659907095142817,0.6466551078827805
stage1_60s_ridge_window_stats,fms_bin,0-5,40584,4.735137815338042,5.288992229272632,-14.54084485930272,0.2232673766173265,0.2277165768680181,4.732229424294774,1.1545457449766774
stage1_60s_ridge_window_stats,fms_bin,5-10,57705,2.3557701582522768,2.7921721771961887,-3.9636858835695055,0.09278941448405305,0.08292722143857126,1.6177103405978321,0.3274079528586143
stage1_60s_ridge_window_stats,fms_bin,10-15,29806,2.9950518319436124,3.6264250104450615,-6.835990179517149,0.051039906998785176,0.052276080893272105,-2.8960741763456674,0.31530825097598303
stage1_60s_ridge_window_stats,fms_bin,15-20,24230,8.179312213370082,8.505822774102343,-19.71647906806566,0.07009906013157219,0.040718204316204085,-8.179312213370082,0.6321175123389572
stage1_60s_ridge_window_stats,missing_slice,complete_dynamic,134866,3.9268771384252226,4.833445601181873,0.1252173554462881,0.3565363090293425,0.33963918978108004,-0.027969712214878834,0.5912335215566197
stage1_60s_ridge_window_stats,missing_slice,missing_dynamic,17459,4.923740635868981,5.760675057596314,0.07962256673020107,0.28670347503495097,0.2658286698948129,0.26747325375055564,0.6143619547596285
stage1_60s_causal_tcn_linear,fms_bin,0-5,40584,4.7264682962216265,5.28240994047331,-14.50218695600572,0.2230606190985218,0.22798826733687982,4.723815131042795,1.1537805518012156
stage1_60s_causal_tcn_linear,fms_bin,5-10,57705,2.361232283909293,2.7991324731627722,-3.9884635706008957,0.09353959954228419,0.08414516038517385,1.6176572539678387,0.32790515544325466
