experiment_id,stage,model,input_features,static_features,window_seconds,loss,missing_strategy,auxiliary_tasks,prediction_file,selector_column,selector_value,split_hash,parameter_count,checkpoint,n,mae,rmse,r2,pearson_r,spearman_r,bias,smape,session_uid_macro_mae,session_uid_macro_rmse,session_uid_macro_r2,session_uid_macro_normalized_dtw,session_uid_count,raw_pa_id_macro_mae,raw_pa_id_macro_rmse,raw_pa_id_macro_r2,raw_pa_id_macro_normalized_dtw,raw_pa_id_count,fms_ge_10_auprc,fms_ge_10_precision,fms_ge_10_recall,fms_ge_10_f1,fms_ge_15_auprc,fms_ge_15_precision,fms_ge_15_recall,fms_ge_15_f1,mae_fold_mean,mae_fold_std,rmse_fold_mean,rmse_fold_std,r2_fold_mean,r2_fold_std,pearson_r_fold_mean,pearson_r_fold_std,spearman_r_fold_mean,spearman_r_fold_std,bias_fold_mean,bias_fold_std,paired_vs_selected_paired_sessions,paired_vs_selected_mean_diff,paired_vs_selected_ci_low,paired_vs_selected_ci_high,paired_vs_selected_improved_fraction,train_time_seconds_mean,inference_latency_ms_per_window_mean,peak_gpu_memory_mb_mean,parameter_count_resource
stage2_10s_causal_tcn,2,causal_tcn,six-axis dynamic sequence + missing masks,none,10,MSE,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage2\predictions\ryu_kim_sequence_models_10s\predictions_10s_sequence_models.csv,model,causal_tcn,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,17153,,192219,3.747196603401461,4.681801738972111,0.23483744669647688,0.48616249512131765,0.49672376345077807,-0.09080825361388538,0.6983604064254378,3.7553115880683667,4.262136269676029,-2.189981658576527,3.4339640652951227,428,4.2503007525208725,4.912829660566474,-2.5884652805085366,nan,86,0.45343962290885337,0.47615151369302594,0.17313312682662185,0.2539336225262456,0.2292508288971157,0.2857142857142857,0.00024213075060532688,0.00048385145760251603,3.7474085511997144,0.2821224720346272,4.667113074738516,0.416399650026822,0.22036380176565515,0.0725935876693162,0.5191004480394256,0.0333277963944381,0.529748730218814,0.03528113497077066,-0.09003894572856781,1.2538676338005228,428,0.18355660469794444,0.002844623639159916,0.3555365550905432,0.4532710280373832,34.86030846238136,0.004987871146492036,205.33681640625,17153
stage3_high_standard_huber_lstm,3,standard_huber_lstm,six-axis dynamic sequence + missing masks,none,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage3\high_fms_experiments\predictions_10s_stage3.csv,variant,standard_huber_lstm,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,,192219,3.658517228921607,4.721873949467411,0.22168312031187243,0.49557322253844033,0.5069272766353127,-0.8047582433063738,0.7140762091925588,3.667225873377414,4.212452182011582,-1.590621525080835,3.330791211122931,428,4.175100445680888,4.925470188170435,-1.957480871037362,nan,86,0.45626346108914745,0.487971441874903,0.11004357641623352,0.1795878732488897,0.23444074932812964,0.0,0.0,0.0,3.658540713795695,0.3688550643142871,4.694771374557914,0.5651809828984138,0.21478155587963474,0.0775003919661324,0.512109368718217,0.03414325431744788,0.5232573795263686,0.03707804156531365,-0.8046911097785412,0.9942420318298479,428,0.0954708900069927,-0.07905867106025793,0.25980255212383946,0.45560747663551404,16.237995223701,0.0019162350312252237,222.69609375,5921
stage3_high_weighted_huber_lstm,3,weighted_huber_lstm,six-axis dynamic sequence + missing masks,none,10,FMS-bin weighted Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage3\high_fms_experiments\predictions_10s_stage3.csv,variant,weighted_huber_lstm,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,,192219,4.049641787382902,4.987365399079363,0.13169950944402153,0.49913555100721174,0.5135829602705321,1.2718902620536525,0.7260181140328305,4.056935255993052,4.6703420632866415,-3.8854977606045935,3.645053361635603,428,4.716143075495221,5.503357034758709,-4.968390312313412,nan,86,0.46837722099562273,0.44735133798390503,0.7597871930837752,0.5631363901679747,0.2502937680541595,0.23295830575777632,0.02841000807102502,0.050643838572764555,4.049640585524766,0.2737078332896205,4.9801318686215215,0.30178429136368246,0.10745593010628743,0.1031808604133691,0.509926370005955,0.03944992540703312,0.5231512746185363,0.043708315380499574,1.2718718986986677,0.9469797484783551,428,0.4851802726226246,0.30720055648594097,0.6695200176215588,0.45093457943925236,19.28005364537239,0.002194889403479599,222.4919921875,5921
stage3_high_multitask_high_fms_lstm,3,multitask_high_fms_lstm,six-axis dynamic sequence + missing masks,none,10,Huber + FMS>=15 auxiliary BCE,zero after train-fold standardization + mask,FMS>=15 classifier,D:\27340\Git\OpenRDW\shared\data\exports\stage3\high_fms_experiments\predictions_10s_stage3.csv,variant,multitask_high_fms_lstm,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5954,,192219,3.6512158679489057,4.715151027497785,0.2238978506029411,0.49787534724653293,0.5097123008014568,-0.8113742514210066,0.7121719946301823,3.6611852440593955,4.203252284305131,-1.5892166620105963,3.3309958942003783,428,4.182089648457535,4.9293000013861015,-2.044273150840506,nan,86,0.4584193018096324,0.47645711376940697,0.09828319420381162,0.16295264623955433,0.2354038410078782,0.0,0.0,0.0,3.651228372850774,0.36813810533785923,4.688723274837679,0.5576360107280302,0.21682870999078138,0.07409400728211257,0.5126758301171848,0.03371496621442879,0.5242586912568271,0.03652930976654769,-0.811285741355362,0.9542925790790012,428,0.08943026068897098,-0.08622297907865152,0.25449749849369757,0.45093457943925236,24.022204035520552,0.0019246555226758583,222.70244140625,5954
stage3_missing_zero_mask_lstm,3,zero_mask_lstm,six-axis dynamic sequence + missing masks/time-since,none,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage3\missingness_experiments\predictions_10s_stage3.csv,variant,zero_mask_lstm,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,,192219,3.658517228921607,4.721873949467411,0.22168312031187243,0.49557322253844033,0.5069272766353127,-0.8047582433063738,0.7140762091925588,3.667225873377414,4.212452182011582,-1.590621525080835,3.330791211122931,428,4.175100445680888,4.925470188170435,-1.957480871037362,nan,86,0.45626346108914745,0.487971441874903,0.11004357641623352,0.1795878732488897,0.23444074932812964,0.0,0.0,0.0,3.658540713795695,0.3688550643142871,4.694771374557914,0.5651809828984138,0.21478155587963474,0.0775003919661324,0.512109368718217,0.03414325431744788,0.5232573795263686,0.03707804156531365,-0.8046911097785412,0.9942420318298479,428,0.0954708900069927,-0.07905867106025793,0.25980255212383946,0.45560747663551404,20.951131029427053,0.0022329818178614177,222.69609375,5921
stage3_missing_ffill_mask_lstm,3,ffill_mask_lstm,six-axis dynamic sequence + missing masks/time-since,none,10,Huber,causal forward fill + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage3\missingness_experiments\predictions_10s_stage3.csv,variant,ffill_mask_lstm,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,,192219,3.6588311848720214,4.725239691542038,0.22057315951024903,0.4954227405917361,0.5067832348578867,-0.8206229836907778,0.7168258188871062,3.668650117903935,4.210502211185658,-1.6246895961145034,3.3347684760927816,428,4.202817309676267,4.945860433123599,-2.0852050212482562,nan,86,0.4583431924758102,0.45812975798204747,0.07056229327453142,0.12228928452276241,0.23503585420138184,0.0,0.0,0.0,3.6588768259381084,0.36634324527637574,4.698360613753759,0.5628313236323441,0.2135776677227922,0.07657853217045617,0.511532884977619,0.03561225132349833,0.5235933063265958,0.03889371230664507,-0.8203341532090592,0.9955177648184985,428,0.0968951345335138,-0.08058061465111946,0.26373953519577686,0.4532710280373832,19.897216080129148,0.002280287179082626,222.4919921875,5921
stage3_missing_ffill_mask_time_lstm,3,ffill_mask_time_lstm,six-axis dynamic sequence + missing masks/time-since,none,10,Huber,causal forward fill + mask + time since last observed,none,D:\27340\Git\OpenRDW\shared\data\exports\stage3\missingness_experiments\predictions_10s_stage3.csv,variant,ffill_mask_time_lstm,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,6689,,192219,3.658984546417177,4.716051920336183,0.22360125282335686,0.49620084220047406,0.5070471431282777,-0.7835372646305792,0.713999033159709,3.6695152462565694,4.207249308269966,-1.619525676095261,3.3398388363999647,428,4.20054047908782,4.937359818608039,-2.0112697645017534,nan,86,0.4561362588232298,0.4764406925661125,0.0967956458584904,0.1609018181818182,0.23577223276648807,0.0,0.0,0.0,3.65903824946787,0.3633717770591267,4.689341353800655,0.5609662296952763,0.21657861887799118,0.07595831576439879,0.5137111539822834,0.03464365225680014,0.5254721006748962,0.03755484953141967,-0.7833996531977651,1.0176636458390085,428,0.09776026288614503,-0.07627984480123708,0.2617922054429129,0.4649532710280374,15.531649380922318,0.0015572066068378688,311.37099609375,6689
stage4_history_10s_dynamic,4,small causal LSTM,six-axis dynamic sequence + missing masks,none,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\history_diagnostics\predictions_stage4.csv,duration_seconds,10.0,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,,192219,3.6977328416006103,4.781208079492909,0.2019998739846509,0.4785272800320887,0.49251403600119414,-0.8513966701697934,0.7171283984246476,3.7094751791095004,4.251448654366246,-1.609859305206669,3.3796621941326537,428,4.273188083112389,5.017028787041076,-2.0948238621579964,nan,86,0.44400209712722644,0.4532626195662468,0.08375772212596909,0.1413884785819793,0.22098971368241555,0.0,0.0,0.0,3.6977459497026492,0.36359280269582456,4.751819633150763,0.5922052474410169,0.19579433824367415,0.08508807460904375,0.5058409950846456,0.0322414748144562,0.5197872221001311,0.038175260283948756,-0.8514378370274148,1.1739722083914612,428,0.1377201957390772,-0.03600526360101471,0.3079581928841586,0.4719626168224299,,,,
stage4_history_20s_dynamic,4,small causal LSTM,six-axis dynamic sequence + missing masks,none,20,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\history_diagnostics\predictions_stage4.csv,duration_seconds,20.0,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,,184343,3.7735954709858093,4.822823562412508,0.17537747346912558,0.4486400737976589,0.4588980188136468,-0.8411088238562099,0.6675490229057116,3.7808197270712096,4.289182360744909,-2.053671141400486,3.500793706915,428,4.293792544352242,4.999654195523489,-2.842087598007388,nan,86,0.44879071421086564,0.4554416011152046,0.07996084121462162,0.13603783124646818,0.22535426522891286,0.0,0.0,0.0,3.7735355847360865,0.37120489676097473,4.794945960234599,0.5773674404108057,0.16728251943900455,0.08143144760917032,0.4678758359122446,0.04329009809641227,0.47871021090043103,0.04286808192470092,-0.840678743491266,1.0291276036441832,428,0.20906474370078812,0.025027640813202558,0.38350024658715726,0.4158878504672897,,,,
stage4_history_40s_dynamic,4,small causal LSTM,six-axis dynamic sequence + missing masks,none,40,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\history_diagnostics\predictions_stage4.csv,duration_seconds,40.0,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,,168215,3.8760530900846066,4.8794283096064675,0.14697565843680183,0.4059731273119763,0.4081033345533527,-0.6022583341044329,0.6195426514545035,3.879721602797873,4.372165518200177,-3.934869686826385,3.626020577817791,428,4.3433533573837435,5.024314967648918,-8.35679183600139,nan,86,0.469982184395223,0.4991571964547877,0.1631535918672022,0.24592469560791355,0.2396198078863817,0.0,0.0,0.0,3.8758522524813395,0.30560585763334636,4.858378217601711,0.5011057087534928,0.134288782643534,0.05732075696002041,0.42632890273864055,0.03643078276899253,0.429156187082691,0.037520897530165936,-0.6014485235160577,1.083504609757232,428,0.30796661942745124,0.12763946112999894,0.4891730100876182,0.397196261682243,,,,
