experiment_id,fold,n,mae,rmse,r2,pearson_r,spearman_r,bias,smape
stage1_30s_ridge_window_stats,4,35211,4.15704645010808,5.1245784657235065,0.14056833722985684,0.3808732047358699,0.3669547743232126,-0.18478265644583594,0.6525338668762901
stage1_30s_causal_tcn_linear,0,35346,3.7620997641416896,4.610962525556113,0.12424505808288222,0.38590575216128753,0.4014790218561057,0.5368119696045421,0.640198023921213
stage1_30s_causal_tcn_linear,1,35380,4.21207136169315,5.263265518019223,0.16425346609780533,0.44513797000731736,0.44626231884888223,-1.0335928899472004,0.6349414408698459
stage1_30s_causal_tcn_linear,2,35185,3.6380343652229103,4.463217849289899,0.24065748825811728,0.5041523043812617,0.5062079165377615,-0.5119597403602044,0.5648325938883927
stage1_30s_causal_tcn_linear,3,35345,3.692683078296415,4.429736717661159,0.15978393860414697,0.4694187386991181,0.4821454104548297,1.1840185220140442,0.6538646267788925
stage1_30s_causal_tcn_linear,4,35211,4.156526409948656,5.123686031043342,0.14086764763817805,0.3812718976364142,0.3679693022562975,-0.18545011503849232,0.6525659761464847
stage1_60s_mean_fms,0,30347,4.424495827455708,5.461696451065043,-0.06953143219060665,-3.921109011189419e-14,nan,-1.3925839023065543,0.5589605130430105
stage1_60s_mean_fms,1,30605,4.878333027133837,6.001269728912953,-0.03775085092936381,7.773317027254236e-15,nan,-1.144616416184625,0.6366256303553741
stage1_60s_mean_fms,2,30516,4.153297827361375,4.930975562644137,-0.01490012225035775,5.972184513558042e-15,nan,0.5974700139657176,0.6125440746806624
stage1_60s_mean_fms,3,30505,3.905859735497719,4.62446201052724,-0.1783750125732575,1.179524849646765e-14,nan,1.7992290814908944,0.6270221183151977
stage1_60s_mean_fms,4,30352,4.616367163088354,5.589327987892063,-0.0006122114576159188,4.318688096733798e-15,nan,0.13825391003261103,0.6689276792845953
stage1_60s_ridge_window_stats,0,30347,3.895807986367583,4.899247201940161,0.139408325602129,0.4748172925731905,0.4615739623791628,-1.4633228573164232,0.5095338823802734
stage1_60s_ridge_window_stats,1,30605,4.676171705230826,5.726524752443158,0.055092950037915145,0.31233645152884026,0.30122327091365025,-1.1564009151003987,0.6338504663655873
stage1_60s_ridge_window_stats,2,30516,3.806173721130505,4.545329263123799,0.13764059885742563,0.3964994577918489,0.3860105338881773,0.6539397503609135,0.5825692037175949
stage1_60s_ridge_window_stats,3,30505,3.5996701666452537,4.245990316156146,0.006611584393699466,0.44021711690479765,0.44503930686192694,1.823451149112669,0.6052201671489464
