model,fold,slice_type,slice_value,window_count,mae,rmse,bias
window_stats,1,fms_bin,10-15,5788,4.361462610502777,5.1680001182538815,-4.31078639220763
window_stats,1,fms_bin,15-20,5716,9.09394219269529,9.399132358330803,-9.09394219269529
window_stats,1,missing_slice,complete_dynamic,36568,3.811765032712622,4.955032525367688,-1.0932201948990787
window_stats,1,missing_slice,missing_dynamic,1935,4.889160270345919,5.655332159613686,1.4486380439088018
window_stats,2,fms_bin,0-5,16880,3.353636849553532,4.125451301391135,3.213552150804929
window_stats,2,fms_bin,5-10,12919,2.2754860085012263,2.721535549504215,0.8412684157302721
window_stats,2,fms_bin,10-15,5197,3.5598029554039328,4.196082398717016,-3.3593121279150746
window_stats,2,fms_bin,15-20,3365,7.999992442591584,8.313535225117196,-7.999992442591584
window_stats,2,missing_slice,complete_dynamic,36448,3.3652425366638825,4.226773339733171,0.469837653149051
window_stats,2,missing_slice,missing_dynamic,1913,4.584581451396074,5.404896510131784,1.8871638726265842
window_stats,3,fms_bin,0-5,14824,3.024258823111388,3.649102004791904,2.90243145085256
window_stats,3,fms_bin,5-10,14221,2.1606043381040823,2.5630234189662793,0.5588812617911593
window_stats,3,fms_bin,10-15,5931,3.6239552246219815,4.247306817413147,-3.5595187759785323
window_stats,3,fms_bin,15-20,3527,7.444583750325423,7.673086846761645,-7.444583750325423
window_stats,3,missing_slice,complete_dynamic,36895,3.1209034507134725,3.862831741184948,0.1690461345797455
window_stats,3,missing_slice,missing_dynamic,1608,5.076218654563771,5.845040980405199,-1.6368256415893783
window_stats,4,fms_bin,0-5,11863,2.7800359486061414,3.5397184578396073,2.5618090139571486
window_stats,4,fms_bin,5-10,12509,2.1785861846663814,2.665215462983255,-0.4683133233140552
window_stats,4,fms_bin,10-15,7800,4.535604054156022,5.14167604958627,-4.527628147441607
window_stats,4,fms_bin,15-20,6226,9.472354599432359,9.758410737133241,-9.472354599432359
window_stats,4,missing_slice,complete_dynamic,36743,3.918298580097366,5.083108742646889,-1.7076200861707371
window_stats,4,missing_slice,missing_dynamic,1655,6.41332185635754,7.259429713030867,-4.238480657825297
sequence_plus_dose,0,fms_bin,0-5,11791,2.6570191148502027,3.381848734080657,2.4279152026725233
sequence_plus_dose,0,fms_bin,5-10,13072,2.258066343132183,2.70298602624511,-0.14252708738298137
sequence_plus_dose,0,fms_bin,10-15,7645,4.417000442754996,5.066519779078444,-4.3763836275135635
sequence_plus_dose,0,fms_bin,15-20,5946,9.854214136463362,10.185617208669028,-9.854214136463362
sequence_plus_dose,0,missing_slice,complete_dynamic,36577,3.9333728309841445,5.169149465930633,-1.7405729300374098
sequence_plus_dose,0,missing_slice,missing_dynamic,1877,4.9741626116082465,5.936068375153489,-0.8637399879236074
sequence_plus_dose,1,fms_bin,0-5,13179,3.018123336010271,3.753780899008205,2.908205879972451
sequence_plus_dose,1,fms_bin,5-10,13820,2.2316903835483295,2.752254787102301,0.20198811048967966
sequence_plus_dose,1,fms_bin,10-15,5788,4.343231406914998,5.047004853049265,-4.311880871715345
sequence_plus_dose,1,fms_bin,15-20,5716,9.17833024659634,9.459206225860495,-9.17833024659634
sequence_plus_dose,1,missing_slice,complete_dynamic,36568,3.792329737927591,4.925747117372007,-1.0837271207997754
sequence_plus_dose,1,missing_slice,missing_dynamic,1935,4.9311905747544245,5.66149089626225,1.7198719160193312
sequence_plus_dose,2,fms_bin,0-5,16880,3.387941855824248,4.183441588980999,3.2385910234992257
sequence_plus_dose,2,fms_bin,5-10,12919,2.376950448521225,2.8263032269542183,0.9789360766763685
sequence_plus_dose,2,fms_bin,10-15,5197,3.404246685755856,4.0730003833538735,-3.192585825713662
sequence_plus_dose,2,fms_bin,15-20,3365,7.811470461104281,8.154949120322089,-7.811470461104281
sequence_plus_dose,2,missing_slice,complete_dynamic,36448,3.375216149464184,4.228777672812811,0.5653765971679976
sequence_plus_dose,2,missing_slice,missing_dynamic,1913,4.628265176464984,5.4504977373003225,2.0020798744484822
sequence_plus_dose,3,fms_bin,0-5,14824,3.0510299164928494,3.64425504448805,2.9214982736596404
sequence_plus_dose,3,fms_bin,5-10,14221,2.06936286209287,2.451051899381272,0.5119129787994566
sequence_plus_dose,3,fms_bin,10-15,5931,3.635128445256281,4.224176341801083,-3.602495077226761
sequence_plus_dose,3,fms_bin,15-20,3527,7.389603503608217,7.601094978410677,-7.389603503608217
sequence_plus_dose,3,missing_slice,complete_dynamic,36895,3.0999324920555815,3.827945179413833,0.14895586106718708
sequence_plus_dose,3,missing_slice,missing_dynamic,1608,4.91787675097214,5.647552456174926,-1.4533902202079545
sequence_plus_dose,4,fms_bin,0-5,11863,2.6634017206922525,3.4199879414648757,2.3705603710356806
sequence_plus_dose,4,fms_bin,5-10,12509,2.2485329215642276,2.7482627390066865,-0.6368251832586102
sequence_plus_dose,4,fms_bin,10-15,7800,4.666240034095752,5.2865416778216066,-4.666096260112066
sequence_plus_dose,4,fms_bin,15-20,6226,9.509533847312701,9.789730086706435,-9.509533847312701
sequence_plus_dose,4,missing_slice,complete_dynamic,36743,3.9476789971300286,5.12944775973884,-1.8754098259724274
sequence_plus_dose,4,missing_slice,missing_dynamic,1655,6.209240807363273,7.002921343243356,-3.9503407023104296
