duration_seconds,fold,model,metric_slice,window_count,window_mae,window_rmse,window_r2,session_macro_mae,session_macro_rmse,raw_pa_id_group_macro_mae,raw_pa_id_group_macro_rmse,train_time_seconds,inference_latency_ms_per_window,parameter_count
10.0,3,mean_fms,,38503,4.070313505976973,4.894592234912112,-0.03866526382143731,4.073402792989589,4.701815080226666,4.527744286231256,5.259914522016768,0.00236569344997406,3.703772376160329e-05,1
10.0,3,mean_fms,fms_bin_0-5,14824,5.551522430395252,5.722028738192707,-16.033303267483,,,,,,,
10.0,3,mean_fms,fms_bin_10-15,5931,4.219823447453784,4.408549260721407,-10.935241027580732,,,,,,,
10.0,3,mean_fms,fms_bin_15-20,3527,9.01881661321317,9.109615739920013,-49.414816894004495,,,,,,,
10.0,3,mean_fms,fms_bin_5-10,14221,1.236648150682164,1.4303984417848592,-0.40300848334885897,,,,,,,
10.0,3,mean_fms,complete_dynamic,36895,4.003136990714437,4.793079453177667,-0.0609573157661345,,,,,,,
10.0,3,mean_fms,missing_dynamic,1608,5.611655253877131,6.820653924629776,-0.43272290349687204,,,,,,,
10.0,3,ridge_window_stats,,38503,3.5424148208180033,4.211410679168653,0.23105060052303328,3.545444443225338,4.044606046443234,4.051610502771665,4.7018026746414225,20.97809622436762,0.0022737210599972956,37
10.0,3,ridge_window_stats,fms_bin_0-5,14824,4.023487084483186,4.530029301064665,-9.67580989674593,,,,,,,
10.0,3,ridge_window_stats,fms_bin_10-15,5931,3.024679746593102,3.7300651828951246,-7.54422429132474,,,,,,,
10.0,3,ridge_window_stats,fms_bin_15-20,3527,6.967918545493498,7.216842829676882,-30.641172802126167,,,,,,,
10.0,3,ridge_window_stats,fms_bin_5-10,14221,2.4072991363883314,2.8121992565176894,-4.422985191188063,,,,,,,
10.0,3,ridge_window_stats,complete_dynamic,36895,3.4711580413261585,4.1183803820024005,0.21671182841731507,,,,,,,
10.0,3,ridge_window_stats,missing_dynamic,1608,5.177376810464809,5.959556765541575,-0.09380044743352078,,,,,,,
10.0,3,causal_tcn_linear,,38503,3.539430577545619,4.2084091991155015,0.2321462732119084,3.5424779824155554,4.0413884013932835,4.049059434033501,4.699551001578227,129.63402116298676,0.005234763646619312,97
10.0,3,causal_tcn_linear,fms_bin_0-5,14824,4.018169381592935,4.525629719072048,-9.655083190770345,,,,,,,
10.0,3,causal_tcn_linear,fms_bin_10-15,5931,3.0168910141447474,3.7250785721643984,-7.521394534398516,,,,,,,
10.0,3,causal_tcn_linear,fms_bin_15-20,3527,6.962038805798184,7.210426803820334,-30.584937590729055,,,,,,,
10.0,3,causal_tcn_linear,fms_bin_5-10,14221,2.4094691752733826,2.814255520197186,-4.430918600787164,,,,,,,
10.0,3,causal_tcn_linear,complete_dynamic,36895,3.4682874381383617,4.1157078976486074,0.21772807557878704,,,,,,,
10.0,3,causal_tcn_linear,missing_dynamic,1608,5.171785135027367,5.951142527128675,-0.09071397609358711,,,,,,,
10.0,4,mean_fms,,38398,4.6288763200155705,5.672966482771579,-0.024563450373952245,4.633694194516433,5.3247338394824615,5.233752127237209,6.069117647336718,0.0023356303572654724,3.753406063045858e-05,1
10.0,4,mean_fms,fms_bin_0-5,11863,5.274459788784332,5.4602661456755435,-13.94775924082601,,,,,,,
10.0,4,mean_fms,fms_bin_10-15,7800,4.668469108865619,4.834735781425009,-13.793474635059628,,,,,,,
10.0,4,mean_fms,fms_bin_15-20,6226,10.27140052962382,10.430109587926614,-32.11112990201377,,,,,,,
10.0,4,mean_fms,fms_bin_5-10,12509,1.1835380697902538,1.338908078570151,-0.06258266664977419,,,,,,,
