model,fold,slice_type,slice_value,window_count,mae,rmse,bias
ffill_mask_lstm,1,fms_bin,15-20,5716,9.13047359768038,9.420771490812866,-9.13047359768038
ffill_mask_lstm,1,missing_slice,complete_dynamic,36568,3.757651597796058,4.910774984932386,-1.1565842769609724
ffill_mask_lstm,1,missing_slice,missing_dynamic,1935,5.163765251174453,5.802696996637327,1.9043468392788594
ffill_mask_lstm,1,missing_block_class,no_missing,36568,3.757651597796058,4.910774984932386,-1.1565842769609724
ffill_mask_lstm,1,missing_block_class,short_contiguous_missing,828,4.808201571881483,5.481732423936893,1.1212581900006906
ffill_mask_lstm,1,missing_block_class,long_contiguous_missing,1107,5.429715320239114,6.031613166937507,2.4900716826413922
ffill_mask_lstm,2,fms_bin,0-5,16880,3.2628614200967676,4.0568754339981234,3.0774556901632537
ffill_mask_lstm,2,fms_bin,5-10,12919,2.3449679064472924,2.7415669990759723,0.8554735858679944
ffill_mask_lstm,2,fms_bin,10-15,5197,3.40076598149436,4.081829469602505,-3.3073467741752096
ffill_mask_lstm,2,fms_bin,15-20,3365,8.046300360848255,8.345882581844975,-8.046300360848255
ffill_mask_lstm,2,missing_slice,complete_dynamic,36448,3.333334679255398,4.193521592157297,0.4193092187833044
ffill_mask_lstm,2,missing_slice,missing_dynamic,1913,4.51016219822574,5.358537986968123,1.8046267642067542
ffill_mask_lstm,2,missing_block_class,no_missing,36448,3.333334679255398,4.193521592157297,0.4193092187833044
ffill_mask_lstm,2,missing_block_class,short_contiguous_missing,887,4.150617620990672,4.958325962947531,1.399479602611589
ffill_mask_lstm,2,missing_block_class,long_contiguous_missing,1026,4.820996545211614,5.681855726587033,2.154885567652087
ffill_mask_lstm,3,fms_bin,0-5,14824,2.8129597457002142,3.5017882470445416,2.5916150838540766
ffill_mask_lstm,3,fms_bin,5-10,14221,2.1782578253207867,2.5626921497529973,0.3941408982383208
ffill_mask_lstm,3,fms_bin,10-15,5931,3.703149767081586,4.322076639333116,-3.698797244132017
ffill_mask_lstm,3,fms_bin,15-20,3527,7.594213499372594,7.7961455377347235,-7.594213499372594
ffill_mask_lstm,3,missing_slice,complete_dynamic,36895,3.071998966585525,3.844959137739491,-0.041591982428160666
ffill_mask_lstm,3,missing_slice,missing_dynamic,1608,5.026797396033557,5.842739026662833,-1.96806067080047
ffill_mask_lstm,3,missing_block_class,no_missing,36895,3.071998966585525,3.844959137739491,-0.041591982428160666
ffill_mask_lstm,3,missing_block_class,short_contiguous_missing,695,4.673999230638683,5.514731463736636,-1.7398103027892626
ffill_mask_lstm,3,missing_block_class,long_contiguous_missing,913,5.2953567880920875,6.080577671706266,-2.141810950940436
ffill_mask_lstm,4,fms_bin,0-5,11863,2.908531737980247,3.7520785674992485,2.644489394071421
ffill_mask_lstm,4,fms_bin,5-10,12509,2.284014420108988,2.7198213167425096,-0.14042512838889468
