model,fold,slice_type,slice_value,window_count,mae,rmse,bias
causal_tcn,0,fms_bin,0-5,11791,2.9764725450098073,3.706323956743077,2.83788390088229
causal_tcn,0,fms_bin,5-10,13072,2.3917769813953442,2.80384729360065,0.5158278410080159
causal_tcn,0,fms_bin,10-15,7645,3.666704332633608,4.425380162855026,-3.6020463768526803
causal_tcn,0,fms_bin,15-20,5946,9.10301969053767,9.446609522000335,-9.10301969053767
causal_tcn,0,missing_slice,complete_dynamic,36577,3.8079394988450233,4.9075375487960615,-1.0887476562244536
causal_tcn,0,missing_slice,missing_dynamic,1877,4.920832782459818,5.8461427922260585,-0.8719690976526487
causal_tcn,1,fms_bin,0-5,13179,3.29053173311944,3.9379077887603606,3.2159532263803774
causal_tcn,1,fms_bin,5-10,13820,2.0984659072372915,2.5819725696791997,0.4961342215106732
causal_tcn,1,fms_bin,10-15,5788,4.093781095170613,4.771512807692832,-4.0646863213554285
causal_tcn,1,fms_bin,15-20,5716,9.068473347965197,9.31110869615821,-9.068473347965197
causal_tcn,1,missing_slice,complete_dynamic,36568,3.7885853237075375,4.857843413820234,-0.763818455075597
causal_tcn,1,missing_slice,missing_dynamic,1935,4.835104427534788,5.609204154399963,0.9349548795734574
causal_tcn,2,fms_bin,0-5,16880,4.476377346772718,5.191387515657689,4.435958833674684
causal_tcn,2,fms_bin,5-10,12919,3.020559425886981,3.5249363839003682,2.312277335797276
causal_tcn,2,fms_bin,10-15,5197,2.3034198252494598,3.0201894774161695,-1.772458656260388
causal_tcn,2,fms_bin,15-20,3365,6.447861962934837,6.803184483646898,-6.447861962934837
causal_tcn,2,missing_slice,complete_dynamic,36448,3.8200423688389837,4.5591967219121114,1.884593621962577
causal_tcn,2,missing_slice,missing_dynamic,1913,4.714522171568883,5.6457202216755915,2.6937295025826997
causal_tcn,3,fms_bin,0-5,14824,3.231325266180139,3.860085182665957,3.1263589086769983
causal_tcn,3,fms_bin,5-10,14221,2.2214750465097057,2.585943318262138,0.820744102736011
causal_tcn,3,fms_bin,10-15,5931,3.377190297841021,3.987732033182088,-3.368352931921809
causal_tcn,3,fms_bin,15-20,3527,7.2146365113254305,7.409577298205045,-7.2146365113254305
causal_tcn,3,missing_slice,complete_dynamic,36895,3.1720752373800187,3.870272375100129,0.4065207302352248
causal_tcn,3,missing_slice,missing_dynamic,1608,4.934816623801615,5.647269384637945,-1.4958707770304893
causal_tcn,4,fms_bin,0-5,11863,3.4718886541544483,4.155166070911322,3.381418290728513
causal_tcn,4,fms_bin,5-10,12509,2.184036695215759,2.584062379974767,0.4463778908556338
causal_tcn,4,fms_bin,10-15,7800,3.7231802458946524,4.384378055297791,-3.7063010284533866
causal_tcn,4,fms_bin,15-20,6226,8.528339272750905,8.81315931954401,-8.528339272750905
causal_tcn,4,missing_slice,complete_dynamic,36743,3.837284843150725,4.809738925752211,-0.8415318169682189
causal_tcn,4,missing_slice,missing_dynamic,1655,5.832035868837754,6.5899071959791105,-3.255999132081461
